Release Date,Unit
11/27/2019,Murakumo
11/27/2019,Alk
11/27/2019,Arisa
11/27/2019,Nimbus
11/27/2019,Marina
11/27/2019,Vagner
11/27/2019,Clarisse
11/27/2019,Leon
11/27/2019,Celtie
11/27/2019,Phiria
11/27/2019,Vyron
11/27/2019,Belsidia
11/27/2019,Sonia
11/27/2019,Suizen
11/27/2019,Inaho
11/27/2019,Cagliostro
11/27/2019,Nephtim
11/27/2019,Razelt
11/27/2019,Eclair
11/27/2019,Clyde
11/27/2019,Bianca
11/27/2019,Asukirimaru
11/27/2019,Azel
11/27/2019,Hanabi
11/27/2019,Melsele
11/27/2019,Mia
11/27/2019,Soushiro
11/27/2019,Aurore
11/27/2019,Helga
11/27/2019,Liam
11/27/2019,Marianne
11/27/2019,Andy
11/27/2019,Liesel
11/27/2019,Sharon
11/27/2019,Amelia
11/27/2019,Alice
11/27/2019,Yuwel
11/27/2019,Rams
11/27/2019,Regis
11/27/2019,Renoir
11/27/2019,Mino
11/27/2019,Eleanor
11/27/2019,Ellya
11/27/2019,Gerard
11/27/2019,Keira
11/27/2019,Finn
11/27/2019,Gilasrad
11/27/2019,Lilial
11/27/2019,Marnie
11/27/2019,Enni
11/27/2019,Jake
11/27/2019,Jin
11/27/2019,Trine
11/27/2019,Haaj
11/27/2019,Naska
11/27/2019,Mew
11/27/2019,Evan
11/27/2019,Jester
11/27/2019,Challua
11/27/2019,Conner
11/27/2019,Folus
11/27/2019,Hartlief
11/27/2019,Dorothea
11/27/2019,Rebecca
11/27/2019,Shion
11/27/2019,Adil
11/27/2019,Arly
11/27/2019,Jalil
11/27/2019,Falsche
11/27/2019,Lassie
11/27/2019,Rico
11/27/2019,Walter
11/27/2019,Shirano
11/27/2019,Elza
11/27/2019,Kaiyu
11/27/2019,Keylos
11/27/2019,Klaus
11/27/2019,Trista
11/27/2019,Faf
11/27/2019,Sha Suzu
11/27/2019,Albert
11/27/2019,Yuna
11/27/2019,Kazuchi
11/27/2019,Colt
11/27/2019,Claw
11/27/2019,Taiga
11/27/2019,Tatiana
11/27/2019,Bonnie
11/27/2019,Raul
11/27/2019,Luluca
11/27/2019,Marguerite
11/27/2019,Miles
11/27/2019,Cecilia
11/27/2019,Aureo
11/27/2019,Corinna
11/27/2019,Owlbert
11/27/2019,Golem
11/27/2019,Kamaitachi
11/27/2019,Shroombo
11/27/2019,Red Blobble
11/27/2019,Blue Blobble
11/27/2019,Yellow Blobble
11/27/2019,Green Blobble
11/27/2019,Fire Imp
11/27/2019,Zapquill
12/16/2019,XSoushiro
12/16/2019,XInaho
12/16/2019,XMarianne
12/16/2019,XAureo
12/16/2019,XChallua
12/16/2019,Kannon
12/16/2019,Fiora
12/31/2019,Noenne
12/31/2019,NYEllya
12/31/2019,NYLuluca
12/31/2019,NYYuwel
12/31/2019,NYRebecca
12/31/2019,NYMew
12/31/2019,Kharo
12/31/2019,Quazer
01/15/2020,Cipher
01/15/2020,Mormia
01/15/2020,Adonis
01/15/2020,Kate
01/15/2020,Elise
01/15/2020,Towa Kiseki
01/15/2020,CF Kiseki
01/31/2020,Metis
01/31/2020,Kikuno
01/31/2020,Levy
01/31/2020,Lou
01/31/2020,Cran
01/31/2020,Parfait
02/06/2020,Regitare
02/15/2020,Selene
02/15/2020,Shywe
02/15/2020,Saar
02/15/2020,Nochel
02/29/2020,Rolf
02/29/2020,Barrek
02/29/2020,Illumine
02/29/2020,Suzuka
03/13/2020,Bulleta
03/13/2020,Teurgis
03/13/2020,Hopper
03/13/2020,Mordiaga
03/13/2020,Love
03/23/2020,Arum
03/31/2020,Carla
03/31/2020,Remnith
03/31/2020,Rudy
03/31/2020,Lyla
03/31/2020,Meryll
04/15/2020,Miguel
04/15/2020,Kohane
04/15/2020,Floretta
04/15/2020,Clara
04/15/2020,Jay
04/30/2020,Rakisha
04/30/2020,Libram
04/30/2020,Selgir
04/30/2020,Mizuchi
04/30/2020,Vargen
05/15/2020,Sera
05/15/2020,Kyrie
05/15/2020,Sohvi
05/15/2020,Harlisha
05/15/2020,Rain
05/31/2020,HNephtim
05/31/2020,Olivia
05/31/2020,Botan
05/31/2020,Luna
05/31/2020,Hayz
05/31/2020,Samantha
05/31/2020,Prika
06/12/2020,Kokkoro
06/12/2020,Pecorine
06/12/2020,Karyl
06/12/2020,Melmyna
06/12/2020,Sven
06/23/2020,Dia
06/30/2020,SIllumine
06/30/2020,SMia
06/30/2020,SLiesel
06/30/2020,SNaska
06/30/2020,Nellie
07/13/2020,SBelsidia
07/13/2020,Schult
07/13/2020,Roselia
07/13/2020,Keyana
07/13/2020,Ritta
07/31/2020,SAlice
07/31/2020,Lyra
07/31/2020,SGerard
07/31/2020,SMarguerite
07/31/2020,SMarina
07/31/2020,Flana
08/13/2020,SRazelt
08/13/2020,Nasir
08/13/2020,Grieg
08/13/2020,Mora
08/31/2020,Orvelle
08/31/2020,Firamelia
08/31/2020,Bryce
08/31/2020,Kuramaru
09/15/2020,Saki
09/15/2020,Sakura
09/15/2020,Yugiri
09/15/2020,Tae
09/30/2020,Lily Hoshikawa
09/30/2020,Junko
09/30/2020,Ai Mizuno
09/30/2020,Kugui
10/15/2020,HDia
10/15/2020,HRenoir
10/15/2020,HFalsche
10/15/2020,HCorinna
10/23/2020,Denah
10/23/2020,Nicola
10/23/2020,Zelma
10/23/2020,Hao
10/31/2020,Estariel
10/31/2020,Adjudicus
10/31/2020,Lilith
11/16/2020,ARegis
11/16/2020,Vivi
11/16/2020,Mech
11/16/2020,Lilian
11/27/2020,Yakumo
11/30/2020,APhiria
11/30/2020,ACeltie
11/30/2020,AHanabi
11/30/2020,ACecilia
11/30/2020,AArly
11/30/2020,AAlk
12/9/2020,Reylas
12/9/2020,Katyusha
12/18/2020,XBianca
12/18/2020,XArum
12/18/2020,XTrine
12/18/2020,XAdonis
12/18/2020,XMeryll
12/21/2020,XNimbus
12/31/2020,Beaucy
12/31/2020,NYSuzuka
12/31/2020,NYTrista
12/31/2020,Tor Leleni
1/16/2021,Rem
1/16/2021,Emilia
1/16/2021,Ram
1/16/2021,Subaru
1/31/2021,Fluffy
1/31/2021,Toria
1/31/2021,Ricardo
1/31/2021,Diletta
2/9/2021,VEllya
2/9/2021,VFloretta
2/17/2021,Rhode
2/17/2021,Liao
2/17/2021,Edita
2/17/2021,Eduardo
2/28/2021,Shuilong
2/28/2021,Couette
2/28/2021,Middy
2/28/2021,Axem
03/12/2021,WSuizen
03/12/2021,WKlaus
03/19/2021,Malviola
03/19/2021,Theriol
03/19/2021,Telluna
03/31/2021,DDenah
03/31/2021,DSonia
03/31/2021,Haridal
03/31/2021,Rue Ruto
03/31/2021,Sotieth
04/30/2021,Nevia
04/30/2021,Tink
04/30/2021,Quade
04/30/2021,Londahl
04/30/2021,Tarha
05/12/2021,Beatrix
05/12/2021,Zeta
05/12/2021,Giselle
05/12/2021,Tahweel
05/21/2021,Zantetsu
05/21/2021,Rengetsu
05/21/2021,Piamo
05/21/2021,Feanie
05/31/2021,HAmelia
05/31/2021,HEstariel
05/31/2021,HSelgir
05/31/2021,Maihime
05/31/2021,Cody
05/31/2021,Nate
06/18/2021,Marcus
06/18/2021,Reticia
06/18/2021,Façon
06/18/2021,Sarliha
06/30/2021,SSera
06/30/2021,SLilith
06/30/2021,Mamnalia
06/30/2021,SAzel
06/30/2021,Millet
07/16/2021,SEclair
07/16/2021,Primula
07/16/2021,Evelyn
07/16/2021,Lemarque
07/31/2021,SInaho
07/31/2021,SShywe
07/31/2021,Gouran
07/31/2021,SShirano
07/31/2021,Lucille
07/31/2021,SSohvi
08/16/2021,Haruhi
08/16/2021,Mikuru
08/16/2021,Nagato Yuki
08/16/2021,Itsuki
08/16/2021,Kyon
08/31/2021,SLeon
08/31/2021,SNephtim
08/31/2021,Volgia
08/31/2021,Phi Nonoa
09/15/2021,Zekhel
09/15/2021,Memram
09/15/2021,Strina
09/15/2021,Fuku
09/30/2021,PHelga
09/30/2021,PShuilong
09/30/2021,Makani
09/30/2021,Teo
10/26/2021,HLove
10/26/2021,HLyra
10/26/2021,HMelmyna
10/26/2021,HRain
10/31/2021,Shota
10/31/2021,Yuki
10/31/2021,Rinne
10/31/2021,Seiji
10/31/2021,Nao
11/11/2021,Tohru
11/11/2021,Ryunon
11/11/2021,Fraxis
11/11/2021,Ryuichi
11/27/2021,AMarina
11/27/2021,ACouette
11/27/2021,AShion
11/27/2021,Stella
12/10/2021,ACipher
12/10/2021,ANimbus
12/10/2021,Pishika
12/17/2021,XReylas
12/17/2021,XFluffy
12/17/2021,XFolus
12/31/2021,NYOrvelle
12/31/2021,NYBelsidia
12/31/2021,Toraetty
12/31/2021,NYClaw
12/31/2021,NYLevy
1/31/2022,Kyouka
1/31/2022,Misogi
1/31/2022,Mimi
2/14/2022,VNate
2/14/2022,VReticia
2/14/2022,Elegia
2/14/2022,Merienna
3/1/2022,Anbach
3/1/2022,Marchia
3/1/2022,Tect
3/14/2022,WSchult
3/14/2022,WMurakumo
3/14/2022,Carabina
3/31/2022,Stinel
3/31/2022,Themis
3/31/2022,Clarte
4/15/2022,Waif
4/15/2022,Hildegard
4/15/2022,Rinkarina
4/29/2022,Quinvid
4/29/2022,Louelise
4/29/2022,Ornesto
5/16/2022,Mayuzuki
5/16/2022,Elmar
5/16/2022,Faroro
5/31/2022,ADia
5/31/2022,AToria
5/31/2022,ALiam
5/31/2022,Luciada
6/15/2022,Special Week
6/15/2022,Silence Suzuka
6/15/2022,Gold Ship
06/30/2022,Megumin
06/30/2022,Darkness
06/30/2022,Aqua
06/30/2022,Kazuma
07/15/2022,SShota
07/15/2022,SParfait
07/15/2022,SPishika
07/15/2022,SYuna
07/29/2022,SBulleta
07/29/2022,SPrimula
07/29/2022,SZantetsu
07/29/2022,Echo
08/15/2022,Luca
08/15/2022,Laputina
08/15/2022,Farah
08/31/2022,Magnos
08/31/2022,Yukariko
08/31/2022,Ryouki
09/15/2022,Irinoa
09/15/2022,Rumylaka
09/15/2022,Elmelissa
09/30/2022,Zelimir
09/30/2022,Daedalia
09/30/2022,Manoka
10/14/2022,HKeira
10/14/2022,HCeltie
10/14/2022,HRinne
10/31/2022,Asta
10/31/2022,Yuno
10/31/2022,Noelle
11/15/2022,Elmore
11/15/2022,Zephyr
11/15/2022,Fuuran
11/28/2022,AYuwel
11/28/2022,AVyron
11/28/2022,Ciel
11/28/2022,Nirjana
11/28/2022,Veraine
12/15/2022,XKikuno
12/15/2022,XMia
12/15/2022,XHartlief
12/31/2022,Cirqueharle
12/31/2022,NYYuki
12/31/2022,NYTink
1/16/2023,Käsivars
1/16/2023,Tanakiera
1/31/2023,BStinel
1/31/2023,BLight
1/31/2023,BStella